Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
rastrigin,5,MLP-ReLU,0,0.018778796953994453,0.10990862454306707,0.2995253139251004,0.13703575064191992,29.690274000167847,737,,-1,
rastrigin,5,MLP-ReLU,1,0.022697153702124235,0.1191688673587347,0.15336527397153765,0.15065574566582,19.754112005233765,737,,-1,
rastrigin,5,MLP-ReLU,2,0.017330122187611288,0.1018977155502758,0.353562854492417,0.13164392195468536,19.402139902114868,737,,-1,
rastrigin,5,MLP-ReLU,3,0.01905427052765694,0.10978919641993888,0.28924977468231017,0.13803720704091685,21.148194074630737,737,,-1,
rastrigin,5,MLP-ReLU,4,0.017951635524017562,0.10507850800999158,0.330379561106951,0.13398371365213596,22.631736993789673,737,,-1,
rastrigin,5,MLP-Sin,0,0.015202878707311136,0.09747963508506147,0.43291193168402964,0.1232999542064438,17.56508708000183,737,,-1,
rastrigin,5,MLP-Sin,1,0.015445348916563439,0.09813975356203285,0.4238674628543906,0.12427931813686234,17.550570964813232,737,,-1,
rastrigin,5,MLP-Sin,2,0.015883266575011375,0.10035363894636452,0.4075325381475806,0.1260288323163052,17.60985803604126,737,,-1,
rastrigin,5,MLP-Sin,3,0.015810876996206945,0.10076909529965437,0.41023276796594177,0.12574130982380827,17.66420006752014,737,,-1,
rastrigin,5,MLP-Sin,4,0.015887046256692235,0.10086258986338775,0.4073915508763859,0.12604382672980155,17.749815225601196,737,,-1,
rastrigin,5,ChebyKAN,0,0.028117466025832913,0.12876841521968865,-0.04881975325248411,0.16768263483686352,32.82304787635803,380,,-1,
rastrigin,5,ChebyKAN,1,0.027964096506937652,0.1321468266888967,-0.043098861447497416,0.16722468868841603,33.11469221115112,380,,-1,
rastrigin,5,ChebyKAN,2,0.023534957694925317,0.12447001884387426,0.12211404471082599,0.15341107422518532,32.54599380493164,380,,-1,
rastrigin,5,ChebyKAN,3,0.023269535903816432,0.12208897565090769,0.13201463878295505,0.15254355412083603,40.969465017318726,380,,-1,
rastrigin,5,ChebyKAN,4,0.029272173392131114,0.13514473433547194,-0.09189190967963268,0.17109112598884582,32.521528244018555,380,,-1,
rastrigin,5,FourierKAN,0,0.06195761315458981,0.20726306299576805,-1.311103300745779,0.24891286257361192,37.841809034347534,773,,-1,
rastrigin,5,FourierKAN,1,0.05501337505507165,0.19152444713292346,-1.05207376787921,0.23454930197097507,37.24843096733093,773,,-1,
rastrigin,5,FourierKAN,2,0.053149353717126306,0.18004836696163365,-0.9825432348672725,0.23054143600907476,38.54326796531677,773,,-1,
rastrigin,5,FourierKAN,3,0.04297998984065057,0.15525238866457777,-0.6032121208237533,0.2073161591402141,38.18580484390259,773,,-1,
rastrigin,5,FourierKAN,4,0.042270132879710404,0.16361499502174154,-0.5767334899992753,0.20559701573639244,38.686376094818115,773,,-1,
rastrigin,10,GA-OBN (v1),0,0.01265213204031685,0.09013221949913511,0.43187143370928316,0.11248169646798918,37.538065910339355,52,0.250*(x1^7.540 + x2^8.430 + x3^3.720 + x4^4.930 + x5^6.120 + x6^4.960 + x7^9.080 + x8^7.610 + x9^3.730 + x10^7.570) * -0.030*(x1^3.630 + x2^8.390 + x3^2.440 + x4^1.810 + x5^5.730 + x6^8.930 + x7^4.200 + x8^8.600 + x9^6.650 + x10^6.960) + 0.210*(x1^1.560 + x2^8.120 + x3^2.060 + x4^1.560 + x5^1.530 + x6^1.860 + x7^6.760 + x8^2.360 + x9^2.310 + x10^8.520) * 0.120*(x1^6.900 + x2^8.110 + x3^2.020 + x4^1.830 + x5^1.780 + x6^8.370 + x7^9.890 + x8^1.650 + x9^6.250 + x10^1.530) + 0.310,296,1.965635307628956
rastrigin,10,GA-OBN (v1),1,0.014034721860600986,0.09263504763675934,0.3697879232097756,0.11846823144033587,24.704195737838745,52,-0.450*sin(-3.460*x1 + 6.170*x2 + -1.980*x3 + -9.920*x4 + -9.230*x5 + 3.820*x6 + 5.250*x7 + 3.260*x8 + 9.040*x9 + 6.890*x10) * -0.080*sin(-9.050*x1 + -2.950*x2 + -5.200*x3 + -2.350*x4 + -3.140*x5 + 9.160*x6 + -3.270*x7 + 4.800*x8 + 4.520*x9 + -9.990*x10) * 0.880*(x1^2.830 + x2^2.770 + x3^5.800 + x4^5.370 + x5^2.800 + x6^7.940 + x7^0.460 + x8^6.840 + x9^5.660 + x10^1.160) + 0.080*(x1^6.820 + x2^9.190 + x3^1.750 + x4^6.330 + x5^2.020 + x6^7.230 + x7^4.990 + x8^1.500 + x9^9.160 + x10^5.840) + 0.300,292,1.7752925087488571
rastrigin,10,GA-OBN (v1),2,0.01316295043796859,0.08982471031000802,0.4089337562516001,0.11472990210912144,26.52990698814392,52,0.910*cos(-7.230*x1 + 3.930*x2 + 0.960*x3 + -0.580*x4 + -3.050*x5 + -2.950*x6 + 3.410*x7 + 2.950*x8 + 7.250*x9 + -6.520*x10) * 0.040*sin(3.050*x1 + 4.150*x2 + -4.130*x3 + 7.410*x4 + -3.320*x5 + -5.190*x6 + 3.860*x7 + 9.050*x8 + -9.290*x9 + -8.650*x10) + 0.190*(x1^2.150 + x2^7.120 + x3^1.850 + x4^1.720 + x5^1.810 + x6^2.180 + x7^3.950 + x8^1.510 + x9^6.700 + x10^1.860) * 0.090*(x1^6.890 + x2^8.860 + x3^1.560 + x4^1.790 + x5^1.910 + x6^1.780 + x7^7.060 + x8^2.460 + x9^1.820 + x10^2.180) + 0.330,293,1.9856885940198374
rastrigin,10,GA-OBN (v1),3,0.013047969218099774,0.09001556313606777,0.41409684776742284,0.11422770775122722,35.01874780654907,52,-0.020*(x1^2.300 + x2^7.800 + x3^1.590 + x4^1.710 + x5^1.940 + x6^1.630 + x7^4.970 + x8^2.330 + x9^2.980 + x10^2.440) * 0.190*(x1^5.230 + x2^5.860 + x3^1.640 + x4^1.720 + x5^2.080 + x6^9.320 + x7^7.020 + x8^1.980 + x9^2.160 + x10^2.040) * -0.480*(x1^1.630 + x2^7.030 + x3^1.170 + x4^2.310 + x5^1.880 + x6^2.340 + x7^7.220 + x8^2.490 + x9^1.680 + x10^2.060) + 0.070*(x1^5.430 + x2^9.500 + x3^2.180 + x4^6.620 + x5^1.610 + x6^8.380 + x7^9.920 + x8^1.700 + x9^4.450 + x10^4.940) + 0.270,298,1.9473887099094782
rastrigin,10,GA-OBN (v1),4,0.012912454327866661,0.08951656251662357,0.4201819787203602,0.11363298081044368,40.67758798599243,52,0.100*(x1^7.040 + x2^8.700 + x3^1.740 + x4^1.620 + x5^1.600 + x6^6.370 + x7^4.910 + x8^1.510 + x9^4.490 + x10^8.930) + 0.150*(x1^4.930 + x2^8.690 + x3^2.440 + x4^6.590 + x5^4.500 + x6^1.930 + x7^2.110 + x8^1.600 + x9^1.880 + x10^2.220) * 0.770*(x1^1.550 + x2^6.360 + x3^1.060 + x4^8.330 + x5^3.310 + x6^1.990 + x7^0.000 + x8^3.300 + x9^3.170 + x10^2.410) * 0.010*(x1^7.860 + x2^6.620 + x3^2.130 + x4^1.550 + x5^1.540 + x6^2.360 + x7^3.000 + x8^2.340 + x9^2.450 + x10^2.150) + 0.220,275,1.9897286460234116
rastrigin,10,GA-OBN (v2),0,0.011487473126572535,0.08588719260035735,0.4841690225089247,0.10717963018490284,34.852226972579956,52,0.160*(x1^3.620 + x2^3.800 + x3^2.790 + x4^2.640 + x5^2.710 + x6^2.880 + x7^3.880 + x8^1.540 + x9^3.240 + x10^2.880) + 0.010*(x1^0.010 + x2^8.610 + x3^9.900 + x4^9.970 + x5^7.900 + x6^0.160 + x7^0.140 + x8^5.900 + x9^8.850 + x10^9.930) * -0.990*(x1^9.170 + x2^0.320 + x3^9.820 + x4^7.860 + x5^9.080 + x6^8.910 + x7^0.040 + x8^0.140 + x9^9.850 + x10^0.140) * 0.230*(x1^9.750 + x2^9.690 + x3^9.510 + x4^9.800 + x5^9.800 + x6^7.220 + x7^9.170 + x8^5.730 + x9^9.990 + x10^9.900) + 0.110,294,2.1348362031627706
rastrigin,10,GA-OBN (v2),1,0.012744900015021203,0.09080040298206135,0.4277058008895708,0.11289331253453945,33.88837385177612,52,0.040*(x1^5.190 + x2^4.250 + x3^2.930 + x4^3.050 + x5^2.270 + x6^2.870 + x7^3.190 + x8^1.990 + x9^5.070 + x10^3.140) + 0.040*(x1^3.470 + x2^5.130 + x3^1.340 + x4^1.800 + x5^1.120 + x6^0.470 + x7^3.790 + x8^1.500 + x9^1.460 + x10^2.200) * 0.100*(x1^1.900 + x2^4.730 + x3^0.410 + x4^0.210 + x5^1.760 + x6^6.220 + x7^3.380 + x8^1.070 + x9^2.120 + x10^2.320) * 0.510*(x1^2.410 + x2^2.050 + x3^2.560 + x4^3.130 + x5^2.080 + x6^1.320 + x7^4.360 + x8^0.900 + x9^1.640 + x10^2.230) + 0.280,298,1.9791492201232588
rastrigin,10,GA-OBN (v2),2,0.012196691017645853,0.08838946456558908,0.45232245764861057,0.11043863009674583,28.752830028533936,52,-0.100*sin(-8.130*x1 + 8.990*x2 + -9.070*x3 + -8.340*x4 + -1.010*x5 + 4.900*x6 + -8.600*x7 + -9.500*x8 + -3.690*x9 + -2.160*x10) * 0.030*(x1^1.420 + x2^2.100 + x3^9.880 + x4^0.840 + x5^1.010 + x6^0.830 + x7^2.950 + x8^5.330 + x9^7.820 + x10^7.370) * -0.990*(x1^2.150 + x2^2.930 + x3^9.890 + x4^1.010 + x5^6.880 + x6^2.040 + x7^5.800 + x8^3.530 + x9^6.390 + x10^9.930) + 0.130*(x1^2.600 + x2^2.860 + x3^1.450 + x4^1.810 + x5^1.570 + x6^2.190 + x7^3.030 + x8^0.960 + x9^2.540 + x10^1.850) + 0.040,294,2.1593237640293177
